epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2355.21,0.22281,1.09006,1.28536,0.42554,0.31347,0.31246,0.15451,0.21083,1.02655,1.30648,0.0091882,0.0091882,0.0091882
43,2413.13,0.22462,1.09063,1.28411,0.39684,0.34387,0.32493,0.16625,0.20942,1.01264,1.29762,0.0091684,0.0091684,0.0091684
44,2469.52,0.22183,1.08266,1.28444,0.47596,0.32333,0.32157,0.16376,0.20692,1.00093,1.2877,0.0091486,0.0091486,0.0091486
45,2526.24,0.2214,1.073,1.27333,0.44754,0.31395,0.31193,0.15942,0.20821,1.00823,1.29466,0.0091288,0.0091288,0.0091288
46,2582.88,0.22074,1.07936,1.28221,0.38773,0.3513,0.32388,0.16076,0.20652,1.00846,1.2866,0.009109,0.009109,0.009109
47,2637.32,0.22084,1.06554,1.27441,0.44695,0.32882,0.3256,0.16082,0.21025,1.0298,1.29913,0.0090892,0.0090892,0.0090892
48,2692.49,0.22127,1.06487,1.27364,0.45889,0.31602,0.33769,0.17221,0.20582,0.98939,1.28559,0.0090694,0.0090694,0.0090694
49,2749.16,0.21956,1.05881,1.26761,0.4573,0.32101,0.32663,0.168,0.20548,0.9942,1.28215,0.0090496,0.0090496,0.0090496
50,2805.99,0.22088,1.06269,1.27393,0.36417,0.35882,0.33273,0.16927,0.20666,0.99319,1.28721,0.0090298,0.0090298,0.0090298
51,2860.15,0.21969,1.05267,1.26198,0.48903,0.3312,0.34543,0.1777,0.20583,0.98896,1.28261,0.00901,0.00901,0.00901
52,2915.39,0.21878,1.05294,1.26477,0.40644,0.35762,0.34395,0.17371,0.20476,0.996,1.28017,0.0089902,0.0089902,0.0089902
53,2972.05,0.21968,1.0574,1.26733,0.48453,0.29927,0.32574,0.16478,0.20502,0.99254,1.28043,0.0089704,0.0089704,0.0089704
54,3028.1,0.21895,1.05044,1.26593,0.45973,0.30902,0.31956,0.15694,0.20592,0.99155,1.2854,0.0089506,0.0089506,0.0089506
55,3083.21,0.21856,1.04224,1.26532,0.39204,0.37128,0.3563,0.17958,0.20352,0.96564,1.27412,0.0089308,0.0089308,0.0089308
56,3139.34,0.21733,1.04903,1.26237,0.53758,0.31543,0.35788,0.18045,0.20292,0.97527,1.27156,0.008911,0.008911,0.008911
